platform,fiscal_year,revenue_cr,net_loss_cr,adj_ebitda_cr,adj_ebitda_per_order_inr,ad_revenue_cr,operating_cash_flow_cr,stores_end,orders_per_day_exit_mn,source,notes,orders_mn_derived
Zepto,FY25,11110,4700,-4522.0,-136.15,654.0,-4625,,,https://www.outlookbusiness.com/start-up/how-far-zepto-fell-short-of-its-breakeven-goals ; https://entrackr.com/fintrackr/zepto-doubles-revenue-in-fy26-losses-widen-to-rs-5905-cr-12016560,adj EBITDA derived from FY26 figure being +11.5% YoY; ad revenue derived from '2.5X' growth,332.0
Zepto,FY26,22624,5905,-5041.5,-78.75,1636.0,-3462,1139.0,1.75,https://www.outlookbusiness.com/start-up/how-far-zepto-fell-short-of-its-breakeven-goals ; https://entrackr.com/fintrackr/zepto-doubles-revenue-in-fy26-losses-widen-to-rs-5905-cr-12016560,Adj EBITDA -19.5% of NRV (Q1FY26) -> -15.3% (Q4FY26); UDRHP filed Jun-2026,640.0
