company,metric,value,as_of,basis,source
Eternal (Blinkit + Zomato + District),market_cap_cr,324155.0,2026-09-22,INDmoney,https://www.indmoney.com/stocks/eternal-ltd-share-price
Swiggy (Instamart + food + Dineout),market_cap_cr,74077.0,2026-09-22,StockAnalysis (₹740.77B),https://stockanalysis.com/quote/nse/ETERNAL/market-cap/
Zepto,valuation_usd_bn,7.0,2025-10-31,Last primary round,https://unlistedzone.com/zepto-fy26-loss-ad-revenue-ipo-paused
Zepto,valuation_usd_bn,2.75,2026-07-31,"Unlisted-market implied, $2.5-3bn (midpoint); IPO paused 1-2 quarters",https://unlistedzone.com/zepto-fy26-loss-ad-revenue-ipo-paused
